Date,Jacobs Well Spg nr Wimberley (TX),Blanco Rv nr Kyle (TX)
5/5/2010 0:00,11,133
5/6/2010 0:00,10,132
5/7/2010 0:00,9.7,131
5/8/2010 0:00,9.2,126
5/9/2010 0:00,9.6,126
5/10/2010 0:00,9.3,129
5/11/2010 0:00,9,126
5/12/2010 0:00,8.5,123
5/13/2010 0:00,8.2,121
5/14/2010 0:00,8.7,146
5/15/2010 0:00,16,297
5/16/2010 0:00,14,359
5/17/2010 0:00,13,289
5/18/2010 0:00,13,671
5/19/2010 0:00,13,332
5/20/2010 0:00,12,236
5/21/2010 0:00,12,208
5/22/2010 0:00,12,193
5/23/2010 0:00,12,185
5/24/2010 0:00,11,175
5/25/2010 0:00,11,172
5/26/2010 0:00,10,168
5/27/2010 0:00,10,159
5/28/2010 0:00,9.5,150
5/29/2010 0:00,8.6,141
5/30/2010 0:00,8.3,134
5/31/2010 0:00,7.8,129
6/1/2010 0:00,7.5,121
6/2/2010 0:00,7.7,119
6/3/2010 0:00,8.3,131
6/4/2010 0:00,8.1,121
6/5/2010 0:00,7.8,116
6/6/2010 0:00,7.4,115
6/7/2010 0:00,7.2,108
6/8/2010 0:00,7.1,102
6/9/2010 0:00,7.3,419
6/10/2010 0:00,7.6,173
6/11/2010 0:00,7.3,140
6/12/2010 0:00,6.9,130
6/13/2010 0:00,6.6,124
6/14/2010 0:00,6.6,117
6/15/2010 0:00,6.2,111
6/16/2010 0:00,5.9,104
6/17/2010 0:00,6.1,99
6/18/2010 0:00,5.7,94
6/19/2010 0:00,5.6,89
6/20/2010 0:00,5.2,84
6/21/2010 0:00,5.2,79
6/22/2010 0:00,5.1,76
6/23/2010 0:00,4.7,72
6/24/2010 0:00,4.7,70
6/25/2010 0:00,4.3,68
6/26/2010 0:00,4.2,64
6/27/2010 0:00,4.2,60
6/28/2010 0:00,4.1,58
6/29/2010 0:00,4.7,70
6/30/2010 0:00,5.6,93
7/1/2010 0:00,5.3,78
7/2/2010 0:00,6.3,101
7/3/2010 0:00,7.2,223
7/4/2010 0:00,6,223
7/5/2010 0:00,5.5,139
7/6/2010 0:00,5.4,109
7/7/2010 0:00,4.9,96
7/8/2010 0:00,4.6,97
7/9/2010 0:00,13,176
7/10/2010 0:00,12,170
7/11/2010 0:00,9,126
7/12/2010 0:00,7.9,110
7/13/2010 0:00,7.2,101
7/14/2010 0:00,6.8,93
