SeriesID,SiteName,VariableName,LocalDateTime,DataValue,VarUnits,DataType,SiteID,SiteCode,VariableID,VariableCode,Organization,SourceDescription,SourceLink,ValueType,TimeSupport,TimeUnits,IsRegular,NoDataValue,UTCOffset,DateTimeUTC,Latitude,Longitude,ValueAccuracy,CensorCode,MethodDescription,QualityControlLevelCode,SampleMedium,GeneralCategory
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/3/2010 0:00,21,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/3/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/4/2010 0:00,21,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/4/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/5/2010 0:00,20,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/5/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/6/2010 0:00,20,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/6/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/7/2010 0:00,19,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/7/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/8/2010 0:00,18,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/8/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/9/2010 0:00,17,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/9/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/10/2010 0:00,17,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/10/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/11/2010 0:00,16,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/11/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
1,Jacobs Well Spg nr Wimberley; TX,Discharge; cubic feet per second,4/12/2010 0:00,16,unknown,Average,1,NWISDV:08170990,1,NWISDV:00060,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/12/2010 6:00,30.03444444,-98.1261111,,nc,unknown,unknown,Unknown,Unknown
